Sentence,File_Name,Parse_Tree,Processed_Tree,Chunks,Highlight
"However, one of the signi?cant limitations for large-scale industrialization of PEMWEs is that high-cost noble metal catalysts are critical components for facilitating the extremely sluggish kinetics of the oxygen evolution reaction in an acidic environment.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (ADVP (RB However)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NN signi) (. ?)))) (VP (NN cant) (S (NP (NP (NNS limitations)) (PP (IN for) (NP (NP (NML (JJ large) (HYPH -) (NN scale)) (NN industrialization)) (PP (IN of) (NP (NNS PEMWEs)))))) (VP (VBZ is) (SBAR (IN that) (S (NP (NML (JJ high) (HYPH -) (NN cost)) (JJ noble) (NN metal) (NNS catalysts)) (VP (VBP are) (NP (NP (JJ critical) (NNS components)) (PP (IN for) (S (VP (VBG facilitating) (NP (NP (DT the) (ADJP (RB extremely) (JJ sluggish)) (NNS kinetics)) (PP (IN of) (NP (NP (DT the) (NML (NN oxygen) (NN evolution)) (NN reaction)) (PP (IN in) (NP (DT an) (JJ acidic) (NN environment)))))))))))))))) (. .)))","(S (ADVP (RB However)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NN signi) (. ?)))) (VP (NN cant) ","However,one of the signi.?cant",1
"Among various candidates, Ir-based oxides have been the most widely investigated as a potential catalyst material with high catalytic activity and moderate stability.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (IN Among) (NP (JJ various) (NNS candidates))) (, ,) (NP (NNP Ir-) (VBN based) (NNS oxides)) (VP (VBP have) (VP (VBN been) (NP (DT the) (VP (ADVP (RBS most) (RB widely)) (VBN investigated) (PP (IN as) (NP (NP (DT a) (JJ potential) (NN catalyst) (NN material)) (PP (IN with) (NP (NP (JJ high) (JJ catalytic) (NN activity)) (CC and) (NP (JJ moderate) (NN stability)))))))))) (. .)))","(S (PP (IN Among) (NP (JJ various) (NNS candidates))) (, ,) (NP (NNP Ir-) (VBN based) (NNS oxides)) (VP (VBP have) (VP (VBN been) (NP (DT the) (VP (ADVP (RBS most) (RB widely)) (VBN investigated) (PP (IN as) (NP (NP (DT a) (JJ potential) (NN catalyst) (NN material)) (PP (IN with) (NP (NP (JJ high) (JJ catalytic) (NN activity)) (CC and) (NP (JJ moderate) (NN stability)))))))))) (. .)))","Among various candidates,Ir-based oxides have been the most widely investigated as a potential catalyst material with high catalytic activity and moderate stability.",0
"The generation of practical-level current density typically requires a high loading of Ir with a cost that is almost twice that of Pt. Therefore, it is highly desirable to develop an innovative technology to raise the mass activity of Ir-based OER catalysts to the targeted level.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (NP (NP (DT The) (NN generation)) (PP (IN of) (NP (NML (JJ practical) (HYPH -) (NN level)) (JJ current) (NN density)))) (ADVP (RB typically)) (VP (VBZ requires) (NP (NP (NP (DT a) (JJ high) (NN loading)) (PP (IN of) (NP (NN Ir))) (PP (IN with) (NP (NP (DT a) (NN cost)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (NP (NP (QP (RB almost) (RB twice)) (DT that)) (PP (IN of) (NP (NN Pt.) (RB Therefore)))))))))) (, ,) (SBAR (S (NP (NP (PRP it))) (VP (VBZ is) (ADJP (RB highly) (JJ desirable)) (S (VP (TO to) (VP (VB develop) (NP (NP (DT an) (JJ innovative) (NN technology)) (SBAR (S (VP (TO to) (VP (VB raise) (NP (NP (DT the) (NN mass) (NN activity)) (PP (IN of) (NP (NNP Ir-) (VBN based) (NNP OER) (NNS catalysts)))) (PP (IN to) (NP (DT the) (VBN targeted) (NN level)))))))))))))))) (. .)))",(S (NP (NP (DT The) (NN generation)) (PP (IN of) (NP (NML (JJ practical) (HYPH -) (NN level)) (JJ current) (NN density)))) (ADVP (RB typically)) (VP (VBZ requires) (NP (NP (NP (DT a) (JJ high) (NN loading)) (PP (IN of) (NP (NN Ir))) (PP (IN with) (NP (NP (DT a) (NN cost)) (SBAR (WHNP (WDT that)),The generation of  practical-level current density typically requires a high loading of Ir with a cost that,0
"The mass activity of electrochemical OER catalysts, where the current density normalized by the loaded amount of Ir, is determined by the electrochemically active surface area per loaded mass and ECSA-speci?c activity , both of which can be improved by engineering their nanostructures.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (NP (NP (DT The) (JJ mass) (NN activity)) (PP (IN of) (NP (NP (JJ electrochemical) (NN OER) (NNS catalysts)) (, ,) (SBAR (WHADVP (WRB where)) (NP (NP (DT the) (JJ current) (NN density)) (VP (VBN normalized) (PP (IN by) (NP (NP (DT the) (VBN loaded) (NN amount)) (PP (IN of) (NP (NN Ir)))))))) (, ,)))) (VP (VBZ is) (VP (VBN determined) (PP (IN by) (NP (NP (DT the) (ADJP (RB electrochemically) (JJ active)) (NN surface) (NN area)) (PP (IN per) (NP (NP (NP (VBN loaded) (NN mass)) (CC and) (NP (NML (NN ECSA) (HYPH -) (NN speci?c)) (NN activity))) (, ,) (SBAR (WHNP (NP (DT both)) (WHPP (IN of) (WHNP (WDT which)))) (S (VP (MD can) (VP (VB be) (VP (VBN improved) (PP (IN by) (S (VP (VBG engineering) (NP (PRP$ their) (NNS nanostructures)))))))))))))))) (. .)))","(S (NP (NP (DT The) (JJ mass) (NN activity)) (PP (IN of) (NP (NP (JJ electrochemical) (NN OER) (NNS catalysts)) (, ,) (SBAR (WHADVP (WRB where)) (NP (NP (DT the) (JJ current) (NN density)) (VP (VBN normalized) (PP (IN by) (NP (NP (DT the) (VBN loaded) (NN amount)) (PP (IN of) (NP (NN Ir)))))))) (, ,)))) (VP (VBZ is) (VP (VBN determined) (PP (IN by) (NP (NP (DT the) (ADJP (RB electrochemically) (JJ active)) (NN surface) (NN area)) (PP (IN per) (NP (NP (NP (VBN loaded) (NN mass)) (CC and) (NP (NML (NN ECSA) (HYPH -) (NN speci?c)) (NN activity))) (, ,) (SBAR (WHNP (NP (DT both)) (WHPP (IN of) (WHNP (WDT which)))) ","The mass activity of electrochemical OER catalysts,where the current density normalized by the loaded amount of Ir,is determined by the electrochemically active surface area per loaded mass and  ECA-speci?c activity,both of which",1
"In particular, the formation of OER catalyst electrodes employing one-dimensional nanomaterials can be substantially advantageous.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (IN In) (ADJP (JJ particular))) (, ,) (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (NP (NML (NNP OER) (NN catalyst)) (NNS electrodes)) (VP (VBG employing) (NP (ADJP (CD one) (HYPH -) (JJ dimensional)) (NNS nanomaterials)))))) (VP (MD can) (VP (VB be) (ADJP (RB substantially) (JJ advantageous)))) (. .)))","(S (PP (IN In) (ADJP (JJ particular))) (, ,) (NP (NP (DT the) (NN formation)) (PP (IN of) (NP (NP (NML (NNP OER) (NN catalyst)) (NNS electrodes)) (VP (VBG employing) (NP (ADJP (CD one) (HYPH -) (JJ dimensional)) (NNS nanomaterials)))))) (VP (MD can) (VP (VB be) (ADJP (RB substantially) (JJ advantageous)))) (. .)))","In particular,the formation of  OER catalyst electrodes employing one-dimensional nanomaterials can be substantially advantageous.",1
Long-range interconnectivity and low- tortuosity pore structures obtained by 1D nanostructures are expected to contribute to the enhancement of ECSA-speci?c activity by offering high electrical conductivity15 and highly ef?,cleaned_Fulltext_Highly efficient.txt,(ROOT (S (NP (NP (NML (JJ Long) (HYPH -) (NN range)) (NN interconnectivity)) (CC and) (NP (NP (JJ low-) (NN tortuosity) (NN pore) (NNS structures)) (VP (VBN obtained) (PP (IN by) (NP (NNP 1D) (NNS nanostructures)))))) (VP (VBP are) (VP (VBN expected) (S (VP (TO to) (VP (VB contribute) (PP (IN to) (NP (NP (DT the) (NN enhancement)) (PP (IN of) (NP (NML (NN ECSA) (HYPH -) (NN speci?c)) (NN activity))) (PP (IN by) (S (VP (VBG offering) (NP (JJ high) (JJ electrical) (NN conductivity)) (NP (NP (CD 15)) (CC and) (RB highly) (NN ef)))))))))))) (. ?))),(S (NP (NP (NML (JJ Long) (HYPH -) (NN range)) (NN interconnectivity)) (CC and) (NP (NP (JJ low-) (NN tortuosity) (NN pore) (NNS structures)) (VP (VBN obtained) (PP (IN by) (NP (NNP 1D) (NNS nanostructures)))))) (VP (VBP are) (VP (VBN expected), Long-range interconnectivity and low-tortuosity pore structures obtained by 1D nanostructures are expected,1
cient transport of evolved gas.,cleaned_Fulltext_Highly efficient.txt,(ROOT (NP (NP (JJ cient) (NN transport)) (PP (IN of) (NP (VBN evolved) (NN gas))) (. .))),(ROOT (NP (NP (JJ cient) (NN transport)) (PP (IN of) (NP (VBN evolved) (NN gas))) (. .))),cient transport of evolved gas.,1
This is because ,cleaned_Fulltext_Highly efficient.txt,(ROOT (S (NP (DT This)) (VP (VBZ is) (SBAR (IN because) (FRAG (NP (UH suf))))) (. ?))),(S (NP (DT This)) (VP (VBZ is) (SBAR (IN because) (FRAG (NP (UH suf))))) (. ?))),This is because ,0
sufciently long 1D metallic nanostructures can signi,cleaned_Fulltext_Highly efficient.txt,(ROOT (S (NP (ADJP (RB ciently) (JJ long)) (NN 1D) (JJ metallic) (NNS nanostructures)) (VP (MD can) (VP (VB signi))) (. ?))),(S (NP (ADJP (RB ciently) (JJ long)) (NN 1D) (JJ metallic) (NNS nanostructures)) (VP (MD can) (VP (VB signi))) (. ?))),sufciently long 1D metallic nanostructures can signi.,1
"sufcantly reduce the number of electrically insulating junction points among catalyst particles, and also can be designed to be bene",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (ADVP (RB cantly)) (VP (VP (VB reduce) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (ADJP (RB electrically) (VBG insulating)) (NN junction) (NNS points))) (PP (IN among) (NP (NN catalyst) (NNS particles))))) (, ,) (CC and) (ADVP (RB also)) (VP (MD can) (VP (VB be) (VP (VBN designed) (S (VP (TO to) (VP (VB be) (VP (VBN bene))))))))) (. ?)))","(S (ADVP (RB cantly)) (VP (VP (VB reduce) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (ADJP (RB electrically) (VBG insulating)) (NN junction) (NNS points))) (PP (IN among) (NP (NN catalyst) (NNS particles))))) (, ,) (CC and) (ADVP (RB also)) (VP (MD can) (VP (VB be) (VP (VBN designed) ","cantly reduce the number of electrically insulating junction points among catalyst particles,and also can be designed",1
cial for gas delivery due to the existence of more ef?,cleaned_Fulltext_Highly efficient.txt,(ROOT (NP (NP (NN cial)) (PP (IN for) (NP (NP (NN gas) (NN delivery)) (PP (IN due) (IN to) (NP (NP (DT the) (NN existence)) (PP (IN of) (NP (JJR more) (NN ef))))))) (. ?))),(ROOT (NP (NP (NN cial)) (PP (IN for) (NP (NP (NN gas) (NN delivery)) (PP (IN due) (IN to) (NP (NP (DT the) (NN existence)) (PP (IN of) (NP (JJR more) (NN ef))))))) (. ?))),cial for gas delivery due to the existence of more ef.?,0
cient gas-transporting channels compared to random aggregates of nanoparticles.,cleaned_Fulltext_Highly efficient.txt,(ROOT (NP (NP (JJ cient) (NN gas-transporting) (NNS channels)) (PP (VBN compared) (PP (IN to) (NP (NP (JJ random) (NNS aggregates)) (PP (IN of) (NP (NNS nanoparticles)))))) (. .))),(ROOT (NP (NP (JJ cient) (NN gas-transporting) (NNS channels)) (PP (VBN compared) (PP (IN to) (NP (NP (JJ random) (NNS aggregates)) (PP (IN of) (NP (NNS nanoparticles)))))) (. .))),cient gas-transporting channels compared to random aggregates of nanoparticles.,0
"In previous research, random or vertically aligned nanowires have been studied, but to date the inter-catalyst space, where gas bubbles can be transmitted, has not been systematically engineered.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (S (PP (IN In) (NP (JJ previous) (NN research))) (, ,) (NP (ADJP (ADJP (JJ random)) (CC or) (ADJP (RB vertically) (VBN aligned))) (NNS nanowires)) (VP (VBP have) (VP (VBN been) (VP (VBN studied))))) (, ,) (CC but) (S (S (VP (TO to) (VP (VB date) (NP (NP (DT the) (JJ inter-catalyst) (NN space)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (NN gas) (NNS bubbles)) (VP (MD can) (VP (VB be) (VP (VBN transmitted)))))) (, ,))))) (VP (VBZ has) (RB not) (VP (VBN been) (ADVP (RB systematically)) (VP (VBN engineered))))) (. .)))","(S (PP (IN In) (NP (JJ previous) (NN research))) (, ,) (NP (ADJP (ADJP (JJ random)) (CC or) (ADJP (RB vertically) (VBN aligned))) (NNS nanowires)) (VP (VBP have) (VP (VBN been) (VP (VBN studied))))) (, ,) (CC but) ","In previous research,random or vertically aligned nanowires have been studied,but",0
"Gas bubble movement within well-de?ned transport pathway should be secured to reach a new level of OER electro- catalyst performance, as shown with the enhanced OER activity achieved by facile bubble detachment via transition from the Cassie state to the Wenzel state wetting of bubbles on 2- dimensionally patterned catalytic surfaces.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (NP (NP (NML (NN Gas) (NN bubble)) (NN movement)) (PP (IN within) (NP (NML (RB well) (HYPH -) (NN de?)) (NML (NN ned) (NN transport)) (NN pathway)))) (VP (MD should) (VP (VB be) (VP (VBN secured) (S (VP (TO to) (VP (VB reach) (NP (NP (DT a) (JJ new) (NN level)) (PP (IN of) (NP (NML (NNP OER) (NN electro-) (NN catalyst)) (NN performance))))))) (, ,) (SBAR (IN as) (S (VP (VBN shown) (PP (IN with) (NP (NP (NP (DT the) (VBN enhanced) (NN OER) (NN activity)) (VP (VBN achieved) (PP (IN by) (NP (JJ facile) (NN bubble) (NN detachment))) (PP (IN via) (NP (NP (NN transition)) (PP (IN from) (NP (DT the) (NNP Cassie) (NN state))) (PP (IN to) (NP (DT the) (NNP Wenzel) (NN state))))))) (VP (NN wetting) (PP (IN of) (NP (NP (NNS bubbles)) (PP (IN on) (NP (ADJP (NP (CD 2) (HYPH -) (RB dimensionally)) (VBN patterned)) (JJ catalytic) (NNS surfaces)))))))))))))) (. .)))",(S (NP (NP (NML (NN Gas) (NN bubble)) (NN movement)) (PP (IN within) (NP (NML (RB well) (HYPH -) (NN de?)) (NML (NN ned) (NN transport)) (NN pathway)))) (VP (MD should) (VP (VB be) (VP (VBN secured), Gas bubble movement within  well-de? ned transport pathway should be secured,1
"Aside from the bubble detachment, bubble coalescence before escaping the catalyst layer should be managed for control over bubble movement in nanostructured electrocatalysts, which was unattainable in previous studies without controllability over long-range 3D geometry.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (RB Aside) (PP (IN from) (NP (DT the) (NN bubble) (NN detachment)))) (, ,) (NP (NP (NN bubble) (NN coalescence)) (PP (IN before) (S (VP (VBG escaping) (NP (DT the) (NN catalyst) (NN layer)))))) (VP (MD should) (VP (VB be) (VP (VBN managed) (PP (IN for) (NP (NP (NN control)) (PP (IN over) (NP (NP (NN bubble) (NN movement)) (PP (IN in) (NP (NP (VBN nanostructured) (NNS electrocatalysts)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBD was) (ADJP (JJ unattainable)) (PP (IN in) (NP (NP (JJ previous) (NNS studies)) (PP (IN without) (NP (NP (NN controllability)) (PP (IN over) (NP (NML (JJ long) (HYPH -) (NN range)) (NN 3D) (NN geometry))))))))))))))))))) (. .)))","(S (PP (RB Aside) (PP (IN from) (NP (DT the) (NN bubble) (NN detachment)))) (, ,) (NP (NP (NN bubble) (NN coalescence)) (PP (IN before) ","Aside from the bubble detachment,bubble coalescence before",1
"For augmenting the ECSA of the OER catalysts, maximization of the two-phase contact area between water and catalyst is an essential condition for more effective interaction between the Ir surface, which serves as both catalytic active sites and pathways for the electrons, and an electrolyte.",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (IN For) (S (VP (VBG augmenting) (NP (NP (DT the) (NN ECSA)) (PP (IN of) (NP (DT the) (NN OER) (NNS catalysts))))))) (, ,) (NP (NP (NN maximization)) (PP (IN of) (NP (NP (DT the) (NML (CD two) (HYPH -) (NN phase)) (NN contact) (NN area)) (PP (IN between) (NP (NN water) (CC and) (NN catalyst)))))) (VP (VBZ is) (NP (NP (DT an) (JJ essential) (NN condition)) (PP (IN for) (NP (NP (ADJP (RBR more) (JJ effective)) (NN interaction)) (PP (IN between) (NP (NP (DT the) (NN Ir) (NN surface)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ serves) (PP (IN as) (NP (CC both) (JJ catalytic) (JJ active) (NNS sites) (CC and) (NP (NP (NNS pathways)) (PP (IN for) (NP (NP (DT the) (NNS electrons)) (, ,) (CC and) (NP (DT an) (NN electrolyte)))))))))))))))) (. .)))",(S (PP (IN For),For,1
"For this purpose, inter- catalyst space should secure the maximized utilization ef?",cleaned_Fulltext_Highly efficient.txt,"(ROOT (S (PP (IN For) (NP (DT this) (NN purpose))) (, ,) (NP (JJ inter-) (NN catalyst) (NN space)) (VP (MD should) (VP (VB secure) (NP (DT the) (VBN maximized) (NN utilization) (NN ef)))) (. ?)))","(S (PP (IN For) (NP (DT this) (NN purpose))) (, ,) (NP (JJ inter-) (NN catalyst) (NN space)) (VP (MD should) (VP (VB secure) (NP (DT the) (VBN maximized) (NN utilization) (NN ef)))) (. ?)))","For this purpose,inter-catalyst space should secure the maximized utilization ef.?",0
"ciency of the surface area, which is not easy to accomplish with Ir black nanoparticles .",cleaned_Fulltext_Highly efficient.txt,"(ROOT (NP (NP (NN ciency)) (PP (IN of) (NP (NP (DT the) (NN surface) (NN area)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (ADJP (RB not) (JJ easy) (SBAR (S (VP (TO to) (VP (VB accomplish) (PP (IN with) (NP (NN Ir) (JJ black) (NNS nanoparticles))))))))))))) (. .)))","(ROOT (NP (NP (NN ciency)) (PP (IN of) (NP (NP (DT the) (NN surface) (NN area)) (, ,) (SBAR (WHNP (WDT which)) ","ciency of the surface area,which",0
