,Paragraph,Chunk,File_name,n_chunks
10,"Oversight and certification organizations such as Fair Trade America and the National Council of Textiles Organization offer evaluation and auditing tools for fair trade and production standards. While some companies do elect to get certified in one or more of these independent accrediting programs, others are engaged in the process of “greenwashing.” Capitalizing on the emotional appeal of eco-friendly and fair trade goods, companies market their products as “green” without adhering to any criteria [14]. To combat these practices, industry-wide adoption of internationally recognized certification criteria should be adopted to encourage eco-friendly practices that promote health and safety across the supply chain.","industry-wide adoption of internationally recognized certification criteria should be adopted to encourage eco-friendly practices that promote health and safety across the supply chain. 
",The global environmental injustice of fast fashion,1
11,"While fair trade companies can attempt to compete with fast fashion retailers, markets for fair trade and eco-friendly textile manufacturing remain small, and ethically and environmentally sound supply chains are difficult and expensive to audit. High income countries can promote occupational safety and environmental health through trade policy and regulations. Although occupational and environmental regulations are often only enforceable within a country’s borders, there are several ways in which policymakers can mitigate the global environmental health hazards associated with fast fashion. The United States, for example, could increase import taxes for garments and textiles or place caps on annual weight or quantities imported from LMICs. At the other end of the clothing lifecycle, some LMICs have begun to regulate the import of used clothing. The United Nations Council for African Renewal, for ex- ample, recently released a report citing that “Rwanda, Tanzania and Uganda are raising taxes on secondhand clothes imports and at the same time offering incentives to local manufacturers” [15].","While fair trade companies can attempt to compete with fast fashion retailers, markets for fair trade and eco-friendly textile manufacturing remain small, and ethically and environmentally sound supply chains are difficult and expensive to audit. 
  High income countries can promote occupational safety and environmental health through trade policy and regulations. 
 The United States, for example, could increase import taxes for garments and textiles or place caps on annual weight or quantities imported from LMICs. 
 The United Nations Council for African Renewal, for ex- ample, recently released a report citing that “Rwanda, Tanzania and Uganda are raising taxes on secondhand clothes imports and at the same time offering incentives to local manufacturers” 
",The global environmental injustice of fast fashion,4
12,"Trade policies and regulations will be the most effective solutions in bringing about large-scale change to the fast fashion industry. However, consumers in high income countries have a role to play in supporting companies and practices that minimize their negative impact on humans and the environment. While certifications at- tempt to raise industry standards, consumers must be aware of greenwashing and be critical in assessing which companies actually ensure a high level of standards versus those that make broad, sweeping claims about their social and sustainable practices [14]. The fast fashion model thrives on the idea of more for less, but the age-old adage “less in more” must be adopted by consumers if environmental justice issues in the fashion industry are to be addressed. The United Nation’s SDG 12, “Ensure sustainable consumption and production pat- terns,” seeks to redress the injustices caused by unfettered materialism. Consumers in high income countries can do their part to promote global environmental just- ice by buying high-quality clothing that lasts longer, shopping at second-hand stores, repairing clothing they already own, and purchasing from retailers with trans- parent supply chains.","consumers in high income countries have a role to play in supporting companies and practices that minimize their negative impact on humans and the environment. 
 While certifications at- tempt to raise industry standards, consumers must be aware of greenwashing and be critical in assessing which companies actually ensure a high level of standards versus those that make broad, sweeping claims about their social and sustainable practices 
 ",The global environmental injustice of fast fashion,2
13,"In the two decades since the fast fashion business model became the norm for big name fashion brands, increased demand for large amounts of inexpensive clothing has resulted in environmental and social degradation along each step of the supply chain. The environmental and human health consequences of fast fashion have largely been missing from the scientific literature, research, and discussions surrounding environmental justice. The breadth and depth of social and environmental abuses in fast fashion warrants its classification as an issue of global environmental justice.","The environmental and human health consequences of fast fashion have largely been missing from the scientific literature, research, and discussions surrounding environmental justice. 
",The global environmental injustice of fast fashion,1
14,"Environmental health scientists play a key role in sup- porting evidence-based public health. Similar to historical cases of environmental injustice in the United States, the unequal distribution of environmental expo- sures disproportionally impact communities in LMICs. There is an emerging need for research that examines the adverse health outcomes associated with fast fashion at each stage of the supply chain and post-consumer process, particularly in LMICs. Advancing work in this area will inform the translation of research findings to public health policies and practices that lead to sustain- able production and ethical consumption.","There is an emerging need for research that examines the adverse health outcomes associated with fast fashion at each stage of the supply chain and post-consumer process, particularly in LMICs. 
",The global environmental injustice of fast fashion,1
15,It is vital to reduce the proportion of sedentary behavior in children. Understanding the duration and behavioral context is needed. The present study examined school-grade and sex differences in domain-specific sedentary times and concurrence with screen-time guidelines among Japanese elementary school children.,"It is vital to reduce the proportion of sedentary behavior in children. 
 The present study examined school-grade and sex differences in domain-specific sedentary times and concurrence with screen-time guidelines among Japanese elementary school children. 
",School grade and sex differences,2
16,"A total of 625 children (330 boys) were surveyed in 2010 and 2014. Using a questionnaire, data regarding participants’ grade (first through third grades: lower grades; fourth through six grades: higher grades), sex, weight, and height were collected in addition to the time spent per day engaging in each specific sedentary behavior separately: (1) reading or listening to music, (2) TV or video viewing, (3) TV game use, (4) internet use excluding class, (5) homework, and (6) car travel. Two-way analysis of covariance and logistic regression analyses, adjusted for BMI and moderate to vigorous physical activity, were used to examine school-grade and sex differences in sedentary behaviors and the independent risk of exceeding recommended total daily screen time (< 2 h).","the time spent per day engaging in each specific sedentary behavior separately 
 reading or listening to music 
 TV or video viewing 
 TV game use 
 internet use excluding class 
 homework 
 car travel 
 Two-way analysis of covariance and logistic regression analyses, adjusted for BMI and moderate to vigorous physical activity, were used to examine school-grade and sex differences in sedentary behaviors and the independent risk of exceeding recommended total daily screen time 
",School grade and sex differences,8
17,"On 625 children, mean minutes (SD) of sedentary behavior per week in (1) – (6) were 90.3 (123.4), 535.0 (356.6), 167.3 (222.1), 23.9 (70.9), 264.9 (185.3), and 33.4 (61.2) in weekdays and 42.1 (70.0), 323.9 (232.0), 123.0 (96.4), 15.8 (49.9), 74.4 (96.4), and 71.3 (84.9) in weekends, respectively. There were differences in the minutes of sedentary behavior between participants of 2010 and 2014; e.g., TV game use and homework in weekdays and weekdays and car travel in weekends. Boys spent more time in TV game use, and girls spent more time reading, listening to music, doing homework, and car travel. Higher-grade students spent more time reading or listening to music, using a computer, and doing homework. Higher-grade students were 2.09 times (95% CI: 1.32 − 3.30) in whole week, 2.08 times (95% CI: 1.45 − 3.00) in weekday, and 1.88 times (95% CI: 1.29 − 2.74) in weekend more likely to spend ≥2 h per day in domains (2) − (4) (screen-time) than lower-grade students.","There were differences in the minutes of sedentary behavior between participants of 2010 and 2014 
 Boys spent more time in TV game use, and girls spent more time reading, listening to music, doing homework, and car travel. 
  Higher-grade students spent more time reading or listening to music, using a computer, and doing homework. 
",School grade and sex differences,3
18,Time spent engaging in each domain-specific sedentary behavior differed according to sex and school grade. Higher-grade students were less likely to meet screen-time guidelines. These findings highlight the need for domain-focused strategies to decrease sedentary behavior in Japanese school-age children.,"
",School grade and sex differences,1
19,"Excessive sedentary behavior in childhood, such as habitual television (TV) viewing or video game play, is associated with weight gain/obesity [1], cardiometabolic disease risk [2], and poor mental health [3], independent of physical activity levels [4]. Despite these risks, the proportion of children who spend excessive time in sedentary behavior is increasing worldwide [4]. Reducing sedentary behavior among children is critical in order to stem the current increase in lifestyle-associated diseases (e.g., type-2 diabetes and hypertension). Current activity guidelines [5, 6] recommend no more than 2 h per day of recreational screen time (i.e., watching TV, DVDs, or videos, playing TV games, and computer use), and limiting sedentary transportation and reducing prolonged periods of sitting or time indoors [4]. However, the development of more effective intervention strategies requires a greater understanding of behavioral context, such as the places and social situations associated with inactivity, as well as the individual times spent on specific sedentary behaviors in target populations.","Excessive sedentary behavior in childhood, such as habitual television (TV) viewing or video game play, is associated with weight gain/obesity 
 cardiometabolic disease risk 
 and poor mental health 
 independent of physical activity levels 
 Current activity guidelines 
 recommend no more than 2 h per day of recreational screen time 
 and limiting sedentary transportation and reducing prolonged periods of sitting or time indoors 
",School grade and sex differences,7
20,"Numerous studies have examined sedentary behavior in school-age children, and many have focused on relationships to diet, obesity, diabetes, and cardiovascular disease [7–10] or sex differences [11, 12]. Others have examined domain-specific sedentary times, particularly time spent in TV viewing [13–17] or total screen time [18–23]. Such studies have revealed regional differences in domain-specific sedentary times. For instance, the proportion of children meeting the <2 h/day recreational screen time guideline differed between study populations in Norway [24] and Canada [25]. Other types of sedentary behaviors also vary by country [26], as these behaviors may be heavily dependent on culture, the socioeconomic status, and lifestyle.","Other types of sedentary behaviors also vary by country 
 as these behaviors may be heavily dependent on culture, the socioeconomic status, and lifestyle. 
",School grade and sex differences,2
21,"While documenting behavior characteristics in target populations is critical for effective targeted interventions [27], few studies have comprehensively assessed differences in domain-specific sedentary behaviors and compliance with activity or screen-time guidelines between sexes and among different age groups in child- hood. Descriptive epidemiological studies have suggested that differences in sedentary behavior between boys and girls are domain-specific [28–30], and that sedentary behavior increases with age [7, 31]. Therefore, the aim of this present study was to examine domain-specific sedentary behaviors and compliance with screen-time guidelines in Japanese school children from 6 to 11 years of age in order to develop targeted interventions according to age (or grade level) and sex.","Descriptive epidemiological studies have suggested that differences in sedentary behavior between boys and girls are domain-specific 
  and that sedentary behavior increases with age 
",School grade and sex differences,2
22,"The present stratified sampling cross-sectional study (n = 967) was conducted in 9 public elementary schools, 1 in Okayama in 2010 and 8 in Tokyo in 2014 agreed to participate in the present study. The children ranged in age from 6 − 11 years. In the Okayama school, students were enrolled from 3 first grade, 2 s grade, 3 third grade, 2 fourth grade, 3 fifth grade, and 3 sixth grade classes. All classes enrolled in the 8 Tokyo schools were fifth grade (19 in total, 5 schools with 2 classes, 3 schools with 3 classes). The present study included all students from these grades. Tokyo is an urban area while Okayama is a mid-sized regional suburban city. Permissions were granted by the Boards of Education of each city and prefecture, and by the principals of each school after research goals and methodology were fully explained. They were informed of study goals and im- portance, and assured that participant confidentially would be maintained. Children received a questionnaire from their teachers and were instructed to complete it at home in April in 2010 and September to October in 2014. The package contained a letter to parents/guardians explaining the ethical considerations of the study and requesting their participation. Returning the questionnaire constituted informed consent. Participation was voluntary, and the confidentiality of the participants was ensured.","The children ranged in age from 6 − 11 years. 
 Children received a questionnaire from their teachers and were instructed to complete it at home in April in 2010 and September to October in 2014 
",School grade and sex differences,2
23,"A previous study [32] suggested that children younger than 10 years of age are unable to report their activity patterns accurately or reliably. Alternatively, parental reports of physical activity among 6 year olds has shown to have a strong correlation with heart rate measures during physical activity [33]. Therefore, parents or guardians of children in first through third grades (lower grades) were asked to complete the questionnaire with their child. Children in fourth grade and above (over 10 years old, higher grades) were asked to complete the questionnaire without parental or guardian assistance. The study was approved by the human research ethics committee at Waseda University.","A previous study 
 suggested that children younger than 10 years of age are unable to report their activity patterns accurately or reliably 
 parents or guardians of children in first through third grades 
 were asked to complete the questionnaire with their child. 
 Children in fourth grade and above 
 were asked to complete the questionnaire without parental or guardian assistance. 
",School grade and sex differences,6
24,"Data on participant school grade, sex, weight, and height were obtained from school records. Participants were divided into lower-grade (grades 1 − 3) or higher-grade (grades 4 − 6) groups. During normal school medical check-ups in April 2010 and 2014, weight and height were measured by a trained nurse or class teacher using the school’s stadiometers and weighing scales. Body mass index (BMI) was calculated from the height and weight data (weight/height2).","Participants were divided into lower-grade 
 or higher-grade, groups. 
 Body mass index (BMI) was calculated from the height and weight data 
",School grade and sex differences,3
25,"Domain-specific sedentary behaviors were collected using a questionnaire. Sedentary behavior was divided into 6 domains [34]: (1) reading or listening to music, (2) TV or video viewing, (3) TV game use, (4) internet or e-mail (computer or tablet) use outside of class, (5) doing homework or assignments, and (6) car travel for transport. Participants were asked how many days on average per week and how much time (hours and minutes) on average per day they engaged in these sedentary behaviors during weekdays and weekends in each domain, and then the values were multiplied by the frequency per week and minutes per day. Each domain- specific sedentary behavior was examined separately, and we calculated the average total number of minutes for each school week (Monday − Friday) and weekend (days × minutes per day). The data were assessed on a scale currently used for a national survey of Japanese students [34]. Screen time was calculated using the total of domains (2), (3), and (4). For the screen-time cut-off point, the present study used the American Academy of Pediatrics guideline of a maximum of 2 h per day [5]. Physical activity was also measured through the questionnaire. The scale was originally developed to assess children’s physical activity by reference to a previous study [35]. Although it is widely agreed that children should have 60 min or more of physical activity daily, no precise assessment scale has been established in Japan. Therefore, participants were asked whether they engaged in moderate to vigorous physical activity (MVPA) that induces harder than normal breathing, such as brisk walking, cycling, dancing, or swimming, for at least 60 min per day, and, if so, how many days did they engage in MVPA in the past week.","Domain-specific sedentary behaviors were collected using a questionnaire. 
 Sedentary behavior was divided into 6 domains 
 reading or listening to music 
 TV or video viewing 
 TV game use 
 internet or e-mail 
 use outside of class 
 doing homework or assignments 
 car travel for transport 
 Participants were asked how many days on average per week and how much time 
 on average per day they engaged in these sedentary behaviors during weekdays and weekends in each domain, and then the values were multiplied by the frequency per week and minutes per day. 
 Each domain- specific sedentary behavior was examined separately, and we calculated the average total number of minutes for each school week (Monday − Friday) and weekend (days × minutes per day). 
 Screen time was calculated using the total of domains (2), (3), and (4). 
 Physical activity was also measured through the questionnaire. 
 participants were asked whether they engaged in moderate to vigorous physical activity (MVPA) that induces harder than normal breathing, such as brisk walking, cycling, dancing, or swimming, for at least 60 min per day, and, if so, how many days did they engage in MVPA in the past week. 
",School grade and sex differences,15
26,"Two-way analysis of covariance, adjusted for BMI z-scores, number of days with MVPA for at least 60 min z-scores, and geographic area, was used to examine school-grade and sex differences in sedentary behaviors. Logistic regression analyses were conducted to examine independent relationships between risk of exceeding 2 h/day total screen-time and both sex and school grade, adjusted for BMI z-scores, number of days with MVPA for least 60 min z-scores, and geographic area. Participants with any missing data were excluded from the analysis. Missing data were defined as any questions that were unanswered. All statistical analyses were performed using PAWS Statistics 21 and results were considered significant at p < 0.05.","Two-way analysis of covariance, adjusted for BMI z-scores, number of days with MVPA for at least 60 min z-scores, and geographic area, was used to examine school-grade and sex differences in sedentary behaviors. 
 Logistic regression analyses were conducted to examine independent relationships between risk of exceeding 2 h/day total screen-time and both sex and school grade, adjusted for BMI z-scores, number of days with MVPA for least 60 min z-scores, and geographic area. 
 All statistical analyses were performed using PAWS Statistics 21 and results were considered significant at p < 0.05. 
",School grade and sex differences,3
27,"A total of 625 Japanese children (330 boys and 295 girls, 322 in Okayama in 2010 and 303 in Tokyo in 2014) completed the survey (rate of participation for analysis: 64.6%, 342 participants were excluded). Table 1 shows the demographic characteristics of participants as well as the 6 sedentary domains assessed {time spent [mean minutes (SD) per week] in reading or listening to music, TV or video viewing, TV game use, computer or tablet use excluding class, doing homework or assignments, and car travel for transport] separately for weekdays and weekends and the physical activity of the study participants. The sedentary times for each of the six domains were 90.3 (123.4), 535.0 (356.6), 167.3 (222.1), 23.9 (70.9), 264.9 (185.3), and 33.4 (61.2) on weekdays, and 42.1 (70.0), 323.9 (232.0), 123.0 (96.4), 15.8 (49.9), 74.4 (96.4), and 71.3 (84.9) on weekends, respectively. On both weekdays and weekends, the majority of time was spent in TV viewing, followed by TV game play. The mean number of days the participants engaged in MVPA per week were 3.0 (SD = 2.2). The mean BMI was 16.9 kg/m2 (standard deviation [SD] = 2.7 kg/m2). There were differences in the BMI (t(623) = 3.49, p < 0.00), percentage of participants in lower grades/higher grades (χ2 = 225.1, p < 0.00), minutes of sedentary behavior; TV game use and homework in weekdays (t(623) = 3.07, p = 0.002, t(623) = 2.45, p = 0.015) and weekends (t(623) = 2.22, p = 0.027, t(623) = 2.96, p = 0.003) and car travel in weekends (t(623) = −3.09, p = 0.002), mean days of physical activity (t(623) = 4.03, p < 0.00), and z-score of days of physical activity (t(623) = 4.05, p < 0.00) between 2010 and 2014.","On both weekdays and weekends, the majority of time was spent in TV viewing, followed by TV game play. 
 The mean number of days the participants engaged in MVPA per week were 3.0 
 The mean BMI was 16.9 kg/m2 
 There were differences in the BMI 
 percentage of participants in lower grades/higher grades 
 minutes of sedentary behavior 
 TV game use and homework in weekdays 
 and weekends 
 and car travel in weekends 
 mean days of physical activity 
 and z-score of days of physical activity 
 between 2010 and 2014. 
",School grade and sex differences,12
28,"There were no significant main effects of sex and school grade on sedentary behavior, and a significant interaction between sex and school grade was found only for car travel (P = 0.019). However, girls spent significantly more time in the following sedentary behaviors: reading or listening to music on weekdays (P = 0.022), home- work or assignments on weekdays (P = 0.013), and car travel on weekends (P = 0.019). Boys spent more time playing TV games than girls on both weekdays and weekends (both P < 0.001) (Table 2).","There were no significant main effects of sex and school grade on sedentary behavior, and a significant interaction between sex and school grade was found only for car travel 
 girls spent significantly more time in the following sedentary behaviors: reading or listening to music on weekdays 
 home- work or assignments on weekdays 
 and car travel on weekends 
 Boys spent more time playing TV games than girls on both weekdays and weekends 
",School grade and sex differences,5
29,"Higher grades spent significantly more time than lower grades on reading or listening to music, in computer and tablet use, and on homework or assignments on weekdays and weekends (P < 0.001 for all).","Higher grades spent significantly more time than lower grades on reading or listening to music, in computer and tablet use, and on homework or assignments on weekdays and weekends 
",School grade and sex differences,1
30,"Table 3 shows the odds ratios (ORs) of exceeding the screen-time guideline of 2 h per day. Higher-grade students (whole week, OR: 2.09, 95% confidence interval [CI]: 1.32–3.30; weekday, OR: 2.08, 95% CI: 1.45 − 3.00; and weekend, OR: 1.88, 95% CI: 1.29 − 2.74) were significantly more likely to spend >2 h per day of total screen time than lower-grade students. No significant relationship was observed for sex.","Higher-grade students 
 were significantly more likely to spend >2 h per day of total screen time than lower-grade students. 
",School grade and sex differences,2
31,"The present study describes the weekly time spent in specific sedentary behaviors by Japanese elementary school children. Boys spent more time playing TV games, while girls spent more time reading or listening to music, doing homework or assignments, and car travel. Higher-grade students spent more time reading or listening to music, on computer or Internet use, and doing homework or assignments even after adjusted for the geographic areas or BMI. Moreover, approximately 60% of children spent time ≥ 2 h per day in sedentary behavior, the majority being devoted to screen time (TV watching and gaming). These findings indicate that programs for decreasing sedentary behavior in Japanese school children should be designed specifically for different age groups of boys and girls.","Boys spent more time playing TV games, while girls spent more time reading or listening to music, doing homework or assignments, and car travel. 
 Higher-grade students spent more time reading or listening to music, on computer or Internet use, and doing homework or assignments even after adjusted for the geographic areas or BMI. 
 approximately 60% of children spent time ≥ 2 h per day in sedentary behavior, the majority being devoted to screen time 
",School grade and sex differences,3
32,"Sedentary behavior was high on both weekdays and weekends in the presented domains, particularly watching TV or videos and TV game use. Moreover, even compared with a previous study that reported a TV viewing time of 1.42 h (426 min/wk) on weekdays and 1.57 h (188.4 min/wk) on weekends among aged 5 years old [36], sedentary behavior was high. According to a national self-reported survey of 3210 children in 10 regions [37], Japanese children spend a substantial amount of time watching TV, playing video games, and using computers when home alone. Therefore, instructing children how to spend time when alone at home might be one effective strategy for decreasing sedentary behavior. However, the total average daily time spent on sedentary activity was even higher on weekends than weekdays. For instance, average TV viewing time was approximately more than 99 min daily on weekdays and 146 min daily on weekends. Alternatively, relatively little time was spent in computer use in this age group. Previous studies [38, 39] also found that leisure sedentary behavior time was higher on weekend days than week- days. Therefore, family-focused weekend activities are a promising way to reduce sedentary behavior in children.","Japanese children spend a substantial amount of time watching TV, playing video games, and using computers when home alone. 
 the total average daily time spent on sedentary activity was even higher on weekends than weekdays. 
 family-focused weekend activities are a promising way to reduce sedentary behavior in children. 
",School grade and sex differences,3
